COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
AHİZ1121.1,Temel Cerrahi (3),3,6,8 / 45,Maslak,"A404, A404, A404",STAFF,,STAFF,,Vocational School,3,NO
AHİZ1121.2,Temel Cerrahi (3),3,6,3 / 25,Maslak,"B151, B151, B151",DİLARA,BAKIN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ1122.1,Ameliyathane Uygulamaları I (3),3,6,8 / 45,Maslak,"A413 B251, A413 B251, A413 B251",DİLARA,BAKIN,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,4,NO
AHİZ1122.2,Ameliyathane Uygulamaları I (3),3,6,4 / 25,Maslak,"A413 A320, A413 A320, A413 A320",DİLARA,BAKIN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,4,NO
AHİZ1123.1,Fizyoloji (3),3,6,3 / 45,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,,Vocational School,3,NO
AHİZ1123.2,Fizyoloji (3),3,6,10 / 85,Maslak,"B108, B108, B108",ALİ İLKAY,UZUN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
AHİZ1123.3,Fizyoloji (3),3,6,14 / 75,Maslak,"B108, B108, B108",EMİNE HANDE,KARAGEDİK,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,3,NO
AHİZ1123.4,Fizyoloji (3),3,6,3 / 65,Maslak,"B151, B151, B151",EMİNE HANDE,KARAGEDİK,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
AHİZ1123.5,Fizyoloji (3),3,6,20 / 35,Maslak,"B251, B251, B251",EMİNE HANDE,KARAGEDİK,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ1123.6,Fizyoloji (3),3,6,18 / 45,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,,Vocational School,3,NO
AHİZ1123.7,Fizyoloji (3),3,6,6 / 30,Maslak,"A320, A320, A320",ALİ İLKAY,UZUN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ1124.1,Enfeksiyondan Korunma Yöntemleri (3),3,3,7 / 45,Maslak,"A317, A317, A317",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO
AHİZ1124.2,Enfeksiyondan Korunma Yöntemleri (3),3,3,2 / 30,Maslak,"A317, A317, A317",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ1125.1,İlk Yardım (3),3,3,-2 / 0,Maslak,"A417, A417, A417",STAFF,,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20",Vocational School,3,NO
AHİZ1125.2,İlk Yardım (3),3,3,0 / 20,Maslak,"A417, A417, A417",ÖZGE,GÖL,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
AHİZ1125.3,İlk Yardım (3),3,3,17 / 30,Maslak,"A417, A417, A417",ÖZGE,GÖL,STAFF,,Vocational School,3,NO
AHİZ1222.1,Knowledge of Surgical Diseases I (3),3,6,12 / 15,Maslak,"B451, B451, B451",GÜNEŞ,ÇEVİK,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ2231.1,Operating Room Applications II (3),3,4,16 / 36,Maslak,"A413, A413, A413",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2233.1,First Aid (3),3,5,22 / 30,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.2,First Aid (3),3,5,10 / 20,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ2233.3,First Aid (3),3,5,9 / 25,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.4,First Aid (3),3,5,16 / 25,Maslak,"A417, A417, A417",HÜLYA,ERGÜNEY,STAFF,"Cuma 08:30 - 09:20, Cuma 08:30 - 09:20",Vocational School,3,NO
AHİZ2233.5,First Aid (3),3,5,24 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO
AHİZ2233.6,First Aid (3),3,5,5 / 25,Maslak,"A417, A417, A417",IŞIL,ARSLAN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
AHİZ2233.7,First Aid (3),3,5,14 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO
AHİZ2233.8,First Aid (3),3,5,0 / 25,Maslak,"A417, A417, A417",IŞIL,ARSLAN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
AHİZ2241.1,Operating Room Applications III (3),3,4,3 / 25,Maslak,"-, -, -, -, -",AHMET KAMİL,TEKEREK,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20",Vocational School,3,NO
AHİZ2242.1,Operating Room  Equipments (3),3,3,18 / 40,Maslak,"B251, B251, B251",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2242.2,Operating Room  Equipments (3),3,3,2 / 25,Maslak,"A203, A203, A203",DİLARA,BAKIN,STAFF,,Vocational School,3,NO
AHİZ2243.1,Knowledge of Diseases (3),3,5,15 / 40,Maslak,"B162, B162, B162",DENİZ,ACUNER,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
AHİZ2243.2,Knowledge of Diseases (3),3,5,10 / 25,Maslak,"B251, B251, B251",DENİZ,ACUNER,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO
AHİZ2909.1,Industrial Training,0,1,93 / 100,Maslak,,DİLARA,BAKIN,STAFF,,Vocational School,0,NO
ANZİ1121.1,Sistemik Hastalıklar Bilgisi (3),3,6,0 / 73,Maslak,"B151, B151, B151",DENİZ,ACUNER,STAFF,"Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20",Vocational School,3,NO
ANZİ1122.1,Genel Farmakoloji (3),3,3,24 / 85,Maslak,"B108, B108, B108",AYHAN,ÜĞÜDEN,STAFF,,Vocational School,3,NO
ANZİ1122.2,Genel Farmakoloji (3),3,3,6 / 70,Maslak,"B251, B251, B251",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
ANZİ1122.3,Genel Farmakoloji (3),3,3,20 / 45,Maslak,"A317, A317, A317",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
ANZİ1123.1,İlaç Hazırlama,0,3,5 / 70,Maslak,"B251, B251, B251",ÖZGE,GÖL,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,6,NO
ANZİ1212.1,General Pharmacology (3),3,5,66 / 80,Maslak,"B108, B108, B108",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20",Vocational School,3,NO
ANZİ1212.2,General Pharmacology (3),3,5,38 / 45,Maslak,"A317, A317, A317",AYHAN,ÜĞÜDEN,STAFF,"Çarşamba 08:30 - 09:20, Çarşamba 08:30 - 09:20",Vocational School,3,NO
ANZİ1222.1,Fundamantels of Anesthesia  II (3),3,6,6 / 70,Maslak,"B251, B251, B251",ALİ,YÜCEL,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO
ANZİ2233.1,Anesthesia Applications I (3),3,4,5 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 15:30 - 16:20, Salı 16:30 - 17:20, Salı 17:30 - 18:20",Vocational School,3,NO
ANZİ2233.2,Anesthesia Applications I (3),3,4,15 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20",Vocational School,3,NO
ANZİ2241.1,Clinic Anesthesia II  (3),3,5,5 / 55,Maslak,"B351, B351, B351",ALİ,YÜCEL,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO
ANZİ2242.1,Post Operative Care and Non-Operating Room Applications (3),3,4,10 / 55,Maslak,"A320, A320, A320",MEHTAP,ATASEVEN BULUN,STAFF,"Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20",Vocational School,3,NO
ANZİ2243.1,Anesthesia Applications II (3),3,4,33 / 55,Maslak,"-, -, -, -, -",AHMET KAMİL,TEKEREK,STAFF,"Çarşamba 11:30 - 12:20, Çarşamba 12:30 - 13:20, Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20",Vocational School,3,NO
ANZİ2251.1,Public Health  (3),3,5,19 / 40,Maslak,"B162, B162, B162",ÖZGE,GÖL,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20, Çarşamba 17:30 - 18:20",Vocational School,3,NO
